Feedback,Sentiment,Category
The Placement team is supportive and responsive.,Positive,Placement
The Sports team is supportive and responsive. The management should take note.,Positive,Sports
"Overall, the Faculty experience has been great this semester.",Positive,Faculty
The Hostel facilties are well maintained and useful. Please look into this issue soon.,Positive,Hostel
The Sports team is supportive and responsive. It saves a lot of time.,Positive,Sports
There are frequent issues related to Sports.,Negative,Sports
The Classroom department is satisfactory. This has affected many students.,Neutral,Classroom
I am very satisfied with the Hostel facilities provided by the college. Please look into this issue soon.,Positive,Hostel
The Placement team is supportive and responsive.,Positive,Placement
The WiFi experience is neither good nor bad. I would recommend maintaining this standard.,Neutral,WiFi
The Classroom experience has been poor recently. Please look into this issue soon.,Negative,Classroom
"Overall, the WiFi experience has been great this semester. I would recommend maintaining this standard.",Positive,WiFi
